id,video_path,frame_dir,seg_dir,ground_truth
01July_2010_Thursday_tagesschau_default-14,video/test/01July_2010_Thursday_tagesschau_default-14/01July_2010_Thursday_tagesschau_default-14.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01July_2010_Thursday_tagesschau_default-14/1,CSLR-IIGA/segmentation/test/01July_2010_Thursday_tagesschau_default-14,__ON__ SONNTAG SPEZIELL SUEDOST GEWITTER NORD MEHR SONNE
01June_2010_Tuesday_heute_default-0,video/test/01June_2010_Tuesday_heute_default-0/01June_2010_Tuesday_heute_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01June_2010_Tuesday_heute_default-0/1,CSLR-IIGA/segmentation/test/01June_2010_Tuesday_heute_default-0,__ON__ LIEB ZUSCHAUER BEGRUESSEN GUT ABEND __OFF__
01June_2010_Tuesday_tagesschau_default-10,video/test/01June_2010_Tuesday_tagesschau_default-10/01June_2010_Tuesday_tagesschau_default-10.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01June_2010_Tuesday_tagesschau_default-10/1,CSLR-IIGA/segmentation/test/01June_2010_Tuesday_tagesschau_default-10,__ON__ OST REGION HOCH STURM KOENNEN MANNHEIM BISSCHEN REGION ZWEI SIEBEN GRENZE __OFF__
01June_2010_Tuesday_tagesschau_default-8,video/test/01June_2010_Tuesday_tagesschau_default-8/01June_2010_Tuesday_tagesschau_default-8.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01June_2010_Tuesday_tagesschau_default-8/1,CSLR-IIGA/segmentation/test/01June_2010_Tuesday_tagesschau_default-8,__ON__ NORDWEST FREUNDLICH __OFF__ __ON__ WIND ZEIGEN-BILDSCHIRM __OFF__ __ON__  WIND WEHEN WIND KOENNEN __OFF__
01June_2011_Wednesday_heute_default-7,video/test/01June_2011_Wednesday_heute_default-7/01June_2011_Wednesday_heute_default-7.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01June_2011_Wednesday_heute_default-7/1,CSLR-IIGA/segmentation/test/01June_2011_Wednesday_heute_default-7,MORGEN DASSELBE SCHAUER REGION SONST VIEL SONNE REGION TEILWEISE WEHEN STARK
01June_2011_Wednesday_tagesschau_default-8,video/test/01June_2011_Wednesday_tagesschau_default-8/01June_2011_Wednesday_tagesschau_default-8.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01June_2011_Wednesday_tagesschau_default-8/1,CSLR-IIGA/segmentation/test/01June_2011_Wednesday_tagesschau_default-8,__ON__ REGION VIEL SONNE BISSCHEN WOLKE __OFF__
01May_2010_Saturday_tagesschau_default-10,video/test/01May_2010_Saturday_tagesschau_default-10/01May_2010_Saturday_tagesschau_default-10.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01May_2010_Saturday_tagesschau_default-10/1,CSLR-IIGA/segmentation/test/01May_2010_Saturday_tagesschau_default-10,TAG NORDOST ZWOELF SUED BAYERN IX MAXIMAL ZWANZIG GRAD
01May_2010_Saturday_tagesschau_default-11,video/test/01May_2010_Saturday_tagesschau_default-11/01May_2010_Saturday_tagesschau_default-11.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01May_2010_Saturday_tagesschau_default-11/1,CSLR-IIGA/segmentation/test/01May_2010_Saturday_tagesschau_default-11,MONTAG AUCH MEHR WOLKE ALS SONNE UEBERWIEGEND REGEN UEBERWIEGEND GEWITTER
01November_2010_Monday_heute_default-8,video/test/01November_2010_Monday_heute_default-8/01November_2010_Monday_heute_default-8.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01November_2010_Monday_heute_default-8/1,CSLR-IIGA/segmentation/test/01November_2010_Monday_heute_default-8,MORGEN OST IX WEST NOCHEINMAL VIERZEHN GRAD MAXIMAL SCHLUSS
01November_2010_Monday_tagesschau_default-2,video/test/01November_2010_Monday_tagesschau_default-2/01November_2010_Monday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01November_2010_Monday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/01November_2010_Monday_tagesschau_default-2,__ON__ MORGEN DANN HERBST MISCHUNG HOCH NEBEL WOLKE SONNE
01November_2010_Monday_tagesschau_default-6,video/test/01November_2010_Monday_tagesschau_default-6/01November_2010_Monday_tagesschau_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01November_2010_Monday_tagesschau_default-6/1,CSLR-IIGA/segmentation/test/01November_2010_Monday_tagesschau_default-6,ABER IM-VERLAUF NEBEL HOCH NEBEL IX MORGEN LANG BLEIBEN 
01October_2009_Thursday_tagesschau_default-12,video/test/01October_2009_Thursday_tagesschau_default-12/01October_2009_Thursday_tagesschau_default-12.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01October_2009_Thursday_tagesschau_default-12/1,CSLR-IIGA/segmentation/test/01October_2009_Thursday_tagesschau_default-12,__ON__ SONNTAG NORD MITTE REGION REGEN NORD STURM SUED REGION BESSER __OFF__
01October_2010_Friday_tagesschau_default-7,video/test/01October_2010_Friday_tagesschau_default-7/01October_2010_Friday_tagesschau_default-7.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01October_2010_Friday_tagesschau_default-7/1,CSLR-IIGA/segmentation/test/01October_2010_Friday_tagesschau_default-7,NACHT ZWOELF KOELN REGION EINS REGION IX AM-TAG ELF VOGEL LAND __OFF__
01October_2012_Monday_heute_default-1,video/test/01October_2012_Monday_heute_default-1/01October_2012_Monday_heute_default-1.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01October_2012_Monday_heute_default-1/1,CSLR-IIGA/segmentation/test/01October_2012_Monday_heute_default-1,FUER VIEL SONNE NICHT-REGION NICHT PAAR-TAG ANFANG WIE-IMMER WIE-IMMER IN-KOMMEND
01October_2012_Monday_tagesschau_default-9,video/test/01October_2012_Monday_tagesschau_default-9/01October_2012_Monday_tagesschau_default-9.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01October_2012_Monday_tagesschau_default-9/1,CSLR-IIGA/segmentation/test/01October_2012_Monday_tagesschau_default-9,__ON__ MITTE BERG VIER NORDWEST ZWOELF GRAD WOLKE
01September_2010_Wednesday_tagesschau_default-4,video/test/01September_2010_Wednesday_tagesschau_default-4/01September_2010_Wednesday_tagesschau_default-4.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/01September_2010_Wednesday_tagesschau_default-4/1,CSLR-IIGA/segmentation/test/01September_2010_Wednesday_tagesschau_default-4,MORGEN IX NORDOST WOLKE UEBERWIEGEND SCHAUER
02August_2010_Monday_heute_default-5,video/test/02August_2010_Monday_heute_default-5/02August_2010_Monday_heute_default-5.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02August_2010_Monday_heute_default-5/1,CSLR-IIGA/segmentation/test/02August_2010_Monday_heute_default-5,DANN REGEN OST REGION MILD FUENFZEHN SECHSZEHN 
02December_2009_Wednesday_tagesschau_default-0,video/test/02December_2009_Wednesday_tagesschau_default-0/02December_2009_Wednesday_tagesschau_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02December_2009_Wednesday_tagesschau_default-0/1,CSLR-IIGA/segmentation/test/02December_2009_Wednesday_tagesschau_default-0,__ON__ JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG DRITTE DEZEMBER __OFF__
02December_2009_Wednesday_tagesschau_default-6,video/test/02December_2009_Wednesday_tagesschau_default-6/02December_2009_Wednesday_tagesschau_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02December_2009_Wednesday_tagesschau_default-6/1,CSLR-IIGA/segmentation/test/02December_2009_Wednesday_tagesschau_default-6,REGION SUEDOST HAUPTSAECHLICH BEWOELKT TROCKEN SONNE WOLKE __OFF__
02December_2010_Thursday_tagesschau_default-2,video/test/02December_2010_Thursday_tagesschau_default-2/02December_2010_Thursday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02December_2010_Thursday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/02December_2010_Thursday_tagesschau_default-2,__ON__ OST SEE TIEF DRUCK ZONE NORD NOCH SCHNEE SCHNEIEN ZWEITE MITTE MEER DANN SLOWAKEI KOMMEN
02February_2011_Wednesday_tagesschau_default-8,video/test/02February_2011_Wednesday_tagesschau_default-8/02February_2011_Wednesday_tagesschau_default-8.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02February_2011_Wednesday_tagesschau_default-8/1,CSLR-IIGA/segmentation/test/02February_2011_Wednesday_tagesschau_default-8,NORDWEST WIEDER FREUNDLICH WOLKE AUFLOESEN WIND SCHWACH NORD MAESSIG
02July_2009_Thursday_tagesschau_default-2,video/test/02July_2009_Thursday_tagesschau_default-2/02July_2009_Thursday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02July_2009_Thursday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/02July_2009_Thursday_tagesschau_default-2,__OFF__ NORD OST DEUTSCHLAND MORGEN DIESE LOS KOMMEN DESWEGEN SONNE REGION
02June_2010_Wednesday_heute_default-6,video/test/02June_2010_Wednesday_heute_default-6/02June_2010_Wednesday_heute_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02June_2010_Wednesday_heute_default-6/1,CSLR-IIGA/segmentation/test/02June_2010_Wednesday_heute_default-6,AUCH DRESDEN REGION REGEN KOENNEN __OFF__
02June_2010_Wednesday_tagesschau_default-16,video/test/02June_2010_Wednesday_tagesschau_default-16/02June_2010_Wednesday_tagesschau_default-16.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02June_2010_Wednesday_tagesschau_default-16/1,CSLR-IIGA/segmentation/test/02June_2010_Wednesday_tagesschau_default-16,TAG WEST KOMMEN BISSCHEN GEWITTER __OFF__
02March_2011_Wednesday_tagesschau_default-0,video/test/02March_2011_Wednesday_tagesschau_default-0/02March_2011_Wednesday_tagesschau_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02March_2011_Wednesday_tagesschau_default-0/1,CSLR-IIGA/segmentation/test/02March_2011_Wednesday_tagesschau_default-0,__ON__ JETZT MORGEN WETTER WIE-AUSSEHEN ZEIGEN-BILDSCHIRM DONNERSTAG DRITTE MAERZ __OFF__
02March_2011_Wednesday_tagesschau_default-9,video/test/02March_2011_Wednesday_tagesschau_default-9/02March_2011_Wednesday_tagesschau_default-9.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02March_2011_Wednesday_tagesschau_default-9/1,CSLR-IIGA/segmentation/test/02March_2011_Wednesday_tagesschau_default-9,__ON__ REST REGION SONNE __OFF__
02October_2010_Saturday_tagesschau_default-2,video/test/02October_2010_Saturday_tagesschau_default-2/02October_2010_Saturday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02October_2010_Saturday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/02October_2010_Saturday_tagesschau_default-2,__ON__ MILD WEHEN ICH RUSSLAND IX STARK KOMMEN EINFLUSS
02October_2012_Tuesday_heute_default-4,video/test/02October_2012_Tuesday_heute_default-4/02October_2012_Tuesday_heute_default-4.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02October_2012_Tuesday_heute_default-4/1,CSLR-IIGA/segmentation/test/02October_2012_Tuesday_heute_default-4,SONST WAHRSCHEINLICH BEIDE ABER KOMMEN
02October_2012_Tuesday_tagesschau_default-2,video/test/02October_2012_Tuesday_tagesschau_default-2/02October_2012_Tuesday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/02October_2012_Tuesday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/02October_2012_Tuesday_tagesschau_default-2,__ON__ DEUTSCH HIER LAND SUEDOST HOCH DRUCK FREUNDLICH
03August_2010_Tuesday_tagesschau_default-13,video/test/03August_2010_Tuesday_tagesschau_default-13/03August_2010_Tuesday_tagesschau_default-13.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03August_2010_Tuesday_tagesschau_default-13/1,CSLR-IIGA/segmentation/test/03August_2010_Tuesday_tagesschau_default-13,__ON__ NEUNZEHN GRAD NORD SECHS ZWANZIG THUERINGEN SACHSEN TAG KLAR __OFF__
03February_2010_Wednesday_heute_default-11,video/test/03February_2010_Wednesday_heute_default-11/03February_2010_Wednesday_heute_default-11.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03February_2010_Wednesday_heute_default-11/1,CSLR-IIGA/segmentation/test/03February_2010_Wednesday_heute_default-11,SAMSTAG BESSER UND DANN SONNTAG IX REGION KOMMEN KALT SCHOEN ABEND AUSRICHTEN __OFF__
03February_2010_Wednesday_heute_default-5,video/test/03February_2010_Wednesday_heute_default-5/03February_2010_Wednesday_heute_default-5.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03February_2010_Wednesday_heute_default-5/1,CSLR-IIGA/segmentation/test/03February_2010_Wednesday_heute_default-5,AUCH DABEI SCHNEE REGEN NORD TROCKEN IX MORGEN IX SCHNEE REGEN SCHNEE REGEN
03February_2010_Wednesday_tagesschau_default-2,video/test/03February_2010_Wednesday_tagesschau_default-2/03February_2010_Wednesday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03February_2010_Wednesday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/03February_2010_Wednesday_tagesschau_default-2,__ON__ DEUTSCH LAND TIEF DRUCK KOMMEN IM-VERLAUF TAG BEWOELKT BISSCHEN REGEN SCHNEE SCHNEIEN
03February_2010_Wednesday_tagesschau_default-4,video/test/03February_2010_Wednesday_tagesschau_default-4/03February_2010_Wednesday_tagesschau_default-4.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03February_2010_Wednesday_tagesschau_default-4/1,CSLR-IIGA/segmentation/test/03February_2010_Wednesday_tagesschau_default-4,HEUTE NACHT ODER FLUSS NOCH SCHNEE SCHNEIEN SUEDWEST AUCH TEIL REGION SCHNEE SCHNEIEN
03February_2010_Wednesday_tagesschau_default-7,video/test/03February_2010_Wednesday_tagesschau_default-7/03February_2010_Wednesday_tagesschau_default-7.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03February_2010_Wednesday_tagesschau_default-7/1,CSLR-IIGA/segmentation/test/03February_2010_Wednesday_tagesschau_default-7,NORDOST MIT SCHNEE SCHNEIEN WIND SCHWACH MAESSIG UNTEN KOMMEN IX KOMMEN
03February_2010_Wednesday_tagesschau_default-9,video/test/03February_2010_Wednesday_tagesschau_default-9/03February_2010_Wednesday_tagesschau_default-9.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03February_2010_Wednesday_tagesschau_default-9/1,CSLR-IIGA/segmentation/test/03February_2010_Wednesday_tagesschau_default-9,FLUSS IX MORGEN SIEBEN FLUSS NUR TEIL MINUS EINS __OFF__
03February_2011_Thursday_heute_default-2,video/test/03February_2011_Thursday_heute_default-2/03February_2011_Thursday_heute_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03February_2011_Thursday_heute_default-2/1,CSLR-IIGA/segmentation/test/03February_2011_Thursday_heute_default-2,__ON__ NORD STURM KOMMEN SCHON NACHT KOMMEN ORKAN
03July_2009_Friday_tagesschau_default-13,video/test/03July_2009_Friday_tagesschau_default-13/03July_2009_Friday_tagesschau_default-13.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03July_2009_Friday_tagesschau_default-13/1,CSLR-IIGA/segmentation/test/03July_2009_Friday_tagesschau_default-13,SONNTAG UEBERWIEGEND OST SUED SCHAUER GEWITTER REGION FREUNDLICH NAECHSTE WOCHE KUEHL ABWECHSELN WETTER __OFF__
03July_2011_Sunday_tagesschau_default-13,video/test/03July_2011_Sunday_tagesschau_default-13/03July_2011_Sunday_tagesschau_default-13.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03July_2011_Sunday_tagesschau_default-13/1,CSLR-IIGA/segmentation/test/03July_2011_Sunday_tagesschau_default-13,__ON__ DIENSTAG  WEST FREUNDLICH IX SCHAUER GEWITTER
03July_2011_Sunday_tagesschau_default-3,video/test/03July_2011_Sunday_tagesschau_default-3/03July_2011_Sunday_tagesschau_default-3.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03July_2011_Sunday_tagesschau_default-3/1,CSLR-IIGA/segmentation/test/03July_2011_Sunday_tagesschau_default-3,REGION MEHR FREUNDLICH HOCH DRUCK KOMMEN BIS REGION __OFF__
03June_2010_Thursday_tagesschau_default-11,video/test/03June_2010_Thursday_tagesschau_default-11/03June_2010_Thursday_tagesschau_default-11.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03June_2010_Thursday_tagesschau_default-11/1,CSLR-IIGA/segmentation/test/03June_2010_Thursday_tagesschau_default-11,TAG OST SECHSZEHN MAXIMAL SIEBEN ZWANZIG GRAD FLUSS
03June_2010_Thursday_tagesschau_default-2,video/test/03June_2010_Thursday_tagesschau_default-2/03June_2010_Thursday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03June_2010_Thursday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/03June_2010_Thursday_tagesschau_default-2,__ON__ NORD SEE HOCH DEUTSCH LAND KOMMEN AUCH SAMSTAG SONNTAG VIEL SONNE DANN TEMPERATUR STEIGEN
03June_2011_Friday_tagesschau_default-8,video/test/03June_2011_Friday_tagesschau_default-8/03June_2011_Friday_tagesschau_default-8.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03June_2011_Friday_tagesschau_default-8/1,CSLR-IIGA/segmentation/test/03June_2011_Friday_tagesschau_default-8,PLOETZLICH IX GEWITTER KOENNEN WIE UNWETTER
03March_2011_Thursday_tagesschau_default-2,video/test/03March_2011_Thursday_tagesschau_default-2/03March_2011_Thursday_tagesschau_default-2.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03March_2011_Thursday_tagesschau_default-2/1,CSLR-IIGA/segmentation/test/03March_2011_Thursday_tagesschau_default-2,__ON__ MORGEN SCHON VIEL SONNE ABER HOCH DRUCK
03October_2010_Sunday_tagesschau_default-11,video/test/03October_2010_Sunday_tagesschau_default-11/03October_2010_Sunday_tagesschau_default-11.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03October_2010_Sunday_tagesschau_default-11/1,CSLR-IIGA/segmentation/test/03October_2010_Sunday_tagesschau_default-11,MITTWOCH MISCHUNG WOLKE NEBEL NORDWEST BISSCHEN SCHAUER REGION TROCKEN
03October_2012_Wednesday_tagesschau_default-4,video/test/03October_2012_Wednesday_tagesschau_default-4/03October_2012_Wednesday_tagesschau_default-4.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03October_2012_Wednesday_tagesschau_default-4/1,CSLR-IIGA/segmentation/test/03October_2012_Wednesday_tagesschau_default-4,__ON__ HEUTE NACHT IX NORDWEST REGEN KOMMEN REGION
03September_2010_Friday_tagesschau_default-6,video/test/03September_2010_Friday_tagesschau_default-6/03September_2010_Friday_tagesschau_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/03September_2010_Friday_tagesschau_default-6/1,CSLR-IIGA/segmentation/test/03September_2010_Friday_tagesschau_default-6,__ON__ TAG WEST FREUNDLICH SONST SONNE WOLKE WECHSELHAFT MAL SCHAUER OST REGION SUEDOST MOEGLICH GEWITTER __OFF__
04April_2010_Sunday_tagesschau_default-12,video/test/04April_2010_Sunday_tagesschau_default-12/04April_2010_Sunday_tagesschau_default-12.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/04April_2010_Sunday_tagesschau_default-12/1,CSLR-IIGA/segmentation/test/04April_2010_Sunday_tagesschau_default-12,__ON__ DIENSTAG HAUPTSAECHLICH SONNE  NORDOST WOLKE MOEGLICH REGEN 
04August_2011_Thursday_tagesschau_default-6,video/test/04August_2011_Thursday_tagesschau_default-6/04August_2011_Thursday_tagesschau_default-6.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/04August_2011_Thursday_tagesschau_default-6/1,CSLR-IIGA/segmentation/test/04August_2011_Thursday_tagesschau_default-6,__ON__ OST REGION ANFANG FREUNDLICH SPAETER NORDWEST AUCH SONNE SONST REGION WOLKE SCHAUER GEWITTER STARK KUEHL __OFF__
04December_2009_Friday_tagesschau_default-0,video/test/04December_2009_Friday_tagesschau_default-0/04December_2009_Friday_tagesschau_default-0.mp4,data/phoenix-2014.v3/phoenix2014-release/phoenix-2014-multisigner/features/fullFrame-210x260px/test/04December_2009_Friday_tagesschau_default-0/1,CSLR-IIGA/segmentation/test/04December_2009_Friday_tagesschau_default-0,__ON__ MORGEN SAMSTAG FUENFTE DEZEMBER WIE-AUSSEHEN WETTER __OFF__
